City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,71.42,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Georgetown,MY,82.89,moderate rain,5.4112,100.3354,Cititel Penang
6,Hilo,US,89.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
9,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
12,Wanning,CN,78.19,overcast clouds,18.8003,110.3967,Paradise Hotel
17,Moose Factory,CA,84.33,clear sky,51.2585,-80.6094,Moosonee Lilypad
19,Tezu,IN,76.1,overcast clouds,27.9167,96.1667,Circuit House
20,Albany,US,76.77,broken clouds,42.6001,-73.9662,Voorheesville
29,Wajir,KE,77.25,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
30,Touros,BR,77.81,clear sky,-5.1989,-35.4608,INN NEW HORIZON
31,Lorengau,PG,80.38,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
33,Awbari,LY,85.3,clear sky,26.5921,12.7805,فندق أوباري
34,Alamogordo,US,81.97,overcast clouds,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
36,Atuona,PF,77.07,scattered clouds,-9.8,-139.0333,Villa Enata
41,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
46,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
49,Acapulco,MX,87.91,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
52,Bac Lieu,VN,79.18,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
53,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
55,Tulsipur,NP,79.05,light rain,28.131,82.2973,Ekanta Hotel Pvt. Ltd
57,Arrecife,ES,75.27,few clouds,28.963,-13.5477,Hotel Lancelot
61,Batticaloa,LK,80.47,overcast clouds,7.7102,81.6924,Grand Star Guest House
